Order,attemptid,domainid,Vocareum ID,conceptid,partid,questionid,response_state,user_response,response_feedback,assignment_timestamp,Date/Time,completion_timestamp,quiz_type,attempt_number,ai_help_counter,chat_conversation,,,,
143,8085,259,171841500,2611,3944273,4774,unanswered,,,1743124938,3/28/2025 1:22:18,,0,0,0,[],,,,
222,8164,259,171841500,2611,4078228,4774,correct,A,,1743130206,3/28/2025 2:50:06,1743130223,0,0,0,[],,,,
223,8165,259,171841500,2611,4078228,4776,correct,B,,1743130225,3/28/2025 2:50:25,1743130228,0,0,0,[],,,,
224,8166,259,171841500,2611,4078228,4785,correct,C,,1743130230,3/28/2025 2:50:30,1743130235,0,0,0,[],,,,
225,8167,259,171841500,2611,4078228,4786,correct,B,,1743130236,3/28/2025 2:50:36,1743130243,0,0,0,[],,,,
226,8168,259,171841500,2611,4078228,4787,correct,C,,1743130246,3/28/2025 2:50:46,1743130252,0,0,0,[],,,,
227,8169,259,171841500,2459,4078228,4769,correct,A,,1743130253,3/28/2025 2:50:53,1743130291,0,0,0,[],,,,
228,8170,259,171841500,2459,4078228,4770,correct,B,,1743130293,3/28/2025 2:51:33,1743130298,0,0,0,[],,,,
229,8171,259,171841500,2459,4078228,4771,correct,B,,1743130299,3/28/2025 2:51:39,1743130304,0,0,0,[],,,,
230,8172,259,171841500,2459,4078228,4773,correct,A,,1743130306,3/28/2025 2:51:46,1743130315,0,0,0,[],,,,
231,8173,259,171841500,2459,4078228,4845,correct,B,,1743130318,3/28/2025 2:51:58,1743130325,0,0,0,[],,,,
232,8174,259,171841500,2459,4078228,4846,skipped,-0,,1743130326,3/28/2025 2:52:06,1743130333,0,0,0,[],,,,
233,8175,259,171841500,2460,4078228,4788,correct,B,,1743130334,3/28/2025 2:52:14,1743130519,0,0,3,[2856],,,,
234,8176,259,171841500,2460,4078228,4789,incorrect,B,,1743130566,3/28/2025 2:56:06,1743130570,0,0,0,[],,,,
236,8178,259,171841500,2460,4078228,4790,skipped,-0,,1743131296,3/28/2025 3:08:16,1743131552,0,0,1,[2857],,,,
237,8179,259,171841500,2460,4078228,4791,skipped,-0,,1743131553,3/28/2025 3:12:33,1743131558,0,0,0,[],,,,
238,8180,259,171841500,2460,4078228,4793,skipped,-0,,1743131558,3/28/2025 3:12:38,1743131565,0,0,0,[],,,,
239,8181,259,171841500,2460,4078228,4789,skipped,-0,,1743131565,3/28/2025 3:12:45,1743131570,0,0,0,[],,,,
240,8182,259,171841500,2460,4078228,4790,incorrect,D,,1743131570,3/28/2025 3:12:50,1743131574,0,0,0,[],,,,
241,8183,259,171841500,2460,4078228,4790,skipped,-0,,1743131579,3/28/2025 3:12:59,1743131585,0,0,0,[],,,,
242,8184,259,171841500,2460,4078228,4791,incorrect,B,,1743131585,3/28/2025 3:13:05,1743131586,0,0,0,[],,,,
243,8185,259,171841500,2460,4078228,4790,skipped,-0,,1743131591,3/28/2025 3:13:11,1743131674,0,0,1,[2858],,,,
